Food_Name,Calories_kcal,Carbs_g,Protein_g,Fat_g,Sodium_mg,Fiber_g,Saturated_Fat_g,Meal_Type
cream cheese,51,0.8,0.9,5.0,16.0,0.0,2.9,Dinner
neufchatel cheese,215,3.1,7.8,19.4,300.0,0.0,10.9,Snack
requeijao cremoso light catupiry,49,0.9,0.8,3.6,0.0,0.1,2.3,Breakfast
ricotta cheese,30,1.5,1.5,2.0,17.0,0.0,1.3,Dinner
cream cheese low fat,30,1.2,1.2,2.3,46.0,0.0,1.4,Dinner
cream cheese fat free,19,1.4,2.8,0.2,100.0,0.0,0.1,Snack
gruyere cheese,116,0.1,8.3,9.1,200.0,0.0,5.3,Breakfast
cheddar cheese,113,0.9,6.4,9.3,200.0,0.0,5.3,Breakfast
parmesan cheese,71,0.6,6.4,4.5,200.0,0.0,2.7,Dinner
romano cheese,19,0.2,1.6,1.3,8.0,0.0,0.9,Lunch
parmesan cheese grated,21,0.7,1.4,1.4,43.0,0.0,0.8,Dinner
port salut cheese,465,0.8,31.4,37.2,700.0,0.0,22.0,Dinner
swiss cheese,98,0.4,6.7,7.7,57.0,0.0,4.6,Dinner
goat cheese hard,128,0.6,8.6,10.1,76.0,0.0,7.0,Dinner
gouda cheese,100,0.6,7.0,7.7,200.0,0.0,4.9,Snack
pepper jack cheese lucerne,75,0.0,5.0,6.0,0.0,2.5,4.0,Breakfast
caraway cheese,106,0.9,7.1,8.3,200.0,0.0,5.3,Snack
gjetost cheese,1058,96.8,21.9,67.0,1400.0,0.0,43.5,Snack
tilsit cheese,136,0.8,9.8,10.4,300.0,0.0,6.7,Snack
goat cheese,103,0.009,6.1,8.4,100.0,0.0,5.8,Dinner
brick cheese,111,0.8,7.0,8.9,200.0,0.0,5.6,Lunch
asadero cheese,402,3.2,25.5,31.9,700.0,0.0,20.3,Breakfast
camembert cheese,90,0.1,5.9,7.3,300.0,0.0,4.6,Lunch
provolone cheese reduced fat,310,4.0,27.9,19.9,1000.0,0.0,12.8,Snack
